iteration,avg_dist,max_dist,min_dist,std
194,7989.2925,11813.58,6769.1826,1021.27155
195,7991.299,12829.491,6769.7036,1115.6174
196,7990.016,12680.103,6770.081,1052.7369
197,7965.1406,12611.168,6769.183,1045.1084
198,7993.3525,12102.601,6770.0806,1073.1514
199,8000.625,13224.264,6770.0806,1084.4015
200,8000.625,11992.304,6769.182,1042.8761
201,7973.642,13407.063,6770.08,1087.6985
202,7927.0195,12668.656,6770.08,1077.4678
203,8008.2065,12694.487,6769.183,1098.148
204,7929.7236,12273.727,6771.3403,1039.5378
205,8010.162,13203.089,6770.0806,1099.6481
206,8006.8525,12991.388,6771.3403,1133.7722
207,8073.267,12626.513,6769.1826,1049.6305
208,8000.6255,12733.829,6770.0806,1071.8043
209,7975.276,12521.453,6769.7036,1113.771
210,7983.18,12249.411,6770.08,1007.81384
211,7998.1606,12601.168,6770.08,1026.1982
212,7992.3,12929.793,6769.1826,1070.7618
213,7972.2754,11715.963,6770.0806,1006.5456
214,7968.1235,12059.786,6769.182,1045.4387
215,8095.7007,13232.086,6770.08,1037.2975
216,7972.975,12522.74,6769.7036,1077.347
217,7991.177,12988.323,6769.183,1128.3535
218,7991.4775,12548.336,6770.081,1092.7839
219,8043.8096,12845.327,6771.3403,1046.6157
220,7953.0728,13693.059,6769.1826,1093.5968
221,8035.08,12158.457,6769.7036,1065.1259
222,8038.188,11735.156,6747.8223,1117.9454
223,8036.4604,12542.707,6770.0806,1071.3445
224,8059.7026,12511.227,6765.401,1089.6581
225,8031.1377,12750.664,6769.1826,1124.4094
226,8000.625,11623.814,6769.1826,1036.3735
227,8104.433,12489.013,6770.08,1094.1644
228,8053.5635,13195.023,6769.182,1100.1495
229,8027.469,12958.032,6769.182,1083.9203
230,8133.876,12323.929,6769.7036,1115.4292
231,8116.577,13413.104,6770.0796,1079.1229
232,8031.907,12032.063,6770.0806,1077.1177
233,7973.4766,13943.643,6770.0806,1131.038
234,7979.452,12391.619,6769.1826,1077.5165
235,8050.249,12265.941,6769.183,1046.8545
236,8100.2935,12889.59,6769.183,1114.9642
237,8021.686,11698.614,6769.182,1029.972
238,7977.0244,11215.324,6769.182,1001.02075
239,8016.1465,12103.305,6769.1826,1065.8085
240,7945.5825,12378.412,6769.1826,1008.2648
241,8016.2344,13173.429,6769.1826,1062.1932
242,8001.7637,12938.283,6769.1826,1056.7913
243,8041.996,12365.129,6699.406,1111.7706
244,7968.8994,12531.799,6770.081,1051.9419
245,8027.1733,11992.155,6769.7036,1072.0173
246,8015.636,11732.476,6769.704,1053.9507
247,8041.6367,11700.181,6770.0806,1058.1887
248,8041.6367,12108.876,6770.0806,1040.8997
249,7994.506,12050.662,6769.7026,1086.71
250,8053.5635,12857.704,6770.081,1111.1008
251,8046.292,13160.15,6771.341,1084.7614
252,8019.7715,12635.852,6769.1826,1081.0172
253,8037.447,12200.012,6769.183,1108.3867
254,8041.6367,13279.953,6769.1826,1085.8779
255,8008.2065,12740.463,6765.401,1082.3097
256,8021.6997,12654.136,6769.1826,1065.8628
257,8046.165,11785.949,6769.182,1046.6613
258,8061.6895,12753.234,6770.0806,1083.5936
259,7945.5825,12701.664,6769.1826,979.4822
260,8021.8984,11894.911,6769.1826,1049.6422
261,8016.4414,12513.99,6770.0806,1077.4534
262,7929.7236,12684.051,6770.0806,1025.6384
263,8017.5127,12167.574,6769.1826,1025.1903
264,8032.7246,12101.759,6770.0806,1076.7687
265,7998.8057,13416.43,6769.1826,1090.0664
266,8051.926,11931.603,6769.183,1057.1298
267,7989.38,13563.252,6770.0806,1040.1987
268,7979.452,12142.203,6769.1826,1030.4312
269,8055.4814,11972.524,6771.3403,1002.1431
270,8019.7715,14131.178,6769.183,1087.4156
271,7963.781,13202.0625,6771.3403,1099.8121
272,7958.6787,13492.404,6700.777,1073.4457
273,7972.975,13353.406,6770.081,1048.4127
274,7883.063,11489.392,6770.0806,971.7831
275,7906.948,12266.093,6769.1826,1050.548
276,7991.177,12438.888,6769.1826,1039.0337
277,8008.2065,13464.589,6769.1826,1045.8022
278,8105.1055,12116.395,6770.0806,1054.7037
279,8021.152,12263.101,6746.508,1056.7871
280,7991.582,12824.888,6770.0806,1115.8497
281,8011.4844,13448.326,6770.0806,1101.4807
282,7953.0728,13729.611,6769.1826,1083.0872
283,7998.5264,13710.333,6770.0806,1126.934
284,7922.2334,11948.9375,6769.182,1060.3925
285,7984.8164,11733.804,6769.183,996.572
286,8054.335,12628.244,6771.3403,1073.453
287,8023.375,13552.79,6770.081,1031.3591
288,8007.2915,12606.847,6769.7036,1111.597
289,8007.9336,11821.006,6770.08,1025.2211
290,8019.943,12550.873,6769.1826,1045.3219
291,8037.774,11914.793,6770.0806,1075.0165
292,7992.36,13976.679,6769.182,1084.7788
293,7980.902,12449.862,6769.183,1072.1216
294,8008.2065,12609.452,6770.0806,1090.0679
295,7966.06,12848.462,6770.081,1091.7482
296,7973.4766,12025.152,6771.341,1038.2432
297,7952.446,12752.183,6771.341,1072.0925
298,8025.5093,12153.997,6769.1826,1070.6115
299,8008.2065,13159.151,6769.7036,1078.6305
300,7950.521,11597.116,6769.182,964.84283
301,7929.7236,12215.547,6769.1826,1021.91406
302,8032.485,12283.091,6771.3403,1121.6394
303,7981.9556,12440.98,6770.0806,1068.0222
304,7991.177,12225.314,6770.0806,1145.6002
305,8057.11,11778.454,6770.081,1020.748
306,7986.9644,11630.373,6770.081,1003.4608
307,7983.46,12254.05,6769.183,1056.9716
308,8010.574,12574.59,6769.183,1026.1073
309,7953.0728,13103.129,6769.1826,1073.5236
310,8044.133,13069.445,6769.1826,1077.8123
311,7991.177,12663.861,6770.0806,1077.1392
312,8007.859,12246.371,6770.081,1057.0944
313,7969.645,13001.403,6770.0806,1084.7903
